candidate_id,smiles,parent_ids,generation_method,validity_status,qed,esol,pains_alert_count,pains_flag,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds
GEN_91D2228E,O=Cc1ccc(CN2CCN(CC/N=N/Nc3ccc4ncnc(C(=O)O)c4c3)CC2)cc1,CHEMBL137364;CHEMBL305194;CHEMBL311119;CHEMBL332096;CHEMBL66570;CHEMBL76985,BRICS,True,0.292,-4.104,1,True,447.5,2.737,2,8,9
GEN_E15C8E0A,Cc1cc(C)c(C(O)=C(O)c2cc(C(=O)O)cc(O)c2O)[nH]1,CHEMBL305194;CHEMBL309598;CHEMBL68920;CHEMBL80155,BRICS,True,0.381,-3.595,1,True,305.29,2.683,6,5,3
GEN_986ECA76,CN(C)/N=N/c1ccc2ncnc(-n3ccc4cc(N5CCN(c6cc(C(=O)O)cc(O)c6O)CC5)ccc43)c2c1,CHEMBL136491;CHEMBL305194;CHEMBL344652;CHEMBL66570;CHEMBL67057;CHEMBL80155,BRICS,True,0.157,-6.2,2,True,552.6,4.57,3,9,6
GEN_7A396276,O=C(O)c1cccc(Br)c1,CHEMBL137364;CHEMBL138125;CHEMBL305194;CHEMBL52765,BRICS,True,0.755,-2.817,0,False,201.02,2.147,1,1,1
GEN_CC0046C5,O=C1Nc2ncnc(-c3ccc(O)c([N+](=O)[O-])c3)c2C1=Cc1cc(C(=O)O)cc(O)c1O,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.175,-4.184,1,True,436.34,2.36,5,9,4
GEN_5F8F07CB,O=C(O)c1cc(O)c(O)c(Cn2ncc3cc(-c4cccc(Cl)c4)ccc32)c1,CHEMBL133024;CHEMBL136491;CHEMBL305194;CHEMBL343352;CHEMBL67003;CHEMBL67057;CHEMBL80155,BRICS,True,0.442,-5.423,2,True,394.81,4.514,3,4,4
GEN_407ABFF6,O=C(O)c1cc(O)c(O)c(C=Cc2ccc3c(c2)CCC3)c1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.599,-4.06,1,True,296.32,3.455,3,3,3
GEN_5F9BC214,Nc1ccc2ncnc(-c3cc(Cc4cc(C(=O)O)cc(O)c4O)cc(O)c3O)c2c1,CHEMBL136492;CHEMBL305194;CHEMBL332096;CHEMBL336113;CHEMBL343352;CHEMBL52765;CHEMBL67003;CHEMBL67057;CHEMBL80155,BRICS,True,0.215,-4.585,1,True,419.39,2.99,6,8,4
GEN_E5BAD8BF,O=C(O)c1cc(O)c(O)c(N2CCN(Cc3cc(O)ccc3[N+](=O)[O-])CC2)c1,CHEMBL305194;CHEMBL332096;CHEMBL66570;CHEMBL77085;CHEMBL80155,BRICS,True,0.341,-3.332,1,True,389.36,1.732,4,8,5
GEN_3455C674,CN1C(=O)C(=C(O)c2cc(C(=O)O)cc(O)c2O)c2c(CCC(=O)O)ncnc21,CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL443268;CHEMBL80155,BRICS,True,0.275,-2.938,1,True,401.33,1.006,5,8,5
