candidate_id,smiles,receptor,configuration,docking_score,docking_output_path,status,error_message
GEN_AC1C9113,O=[N+]([O-])c1cc(-c2cccc(Br)c2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.504,data/docking_outputs/GEN_AC1C9113_docked.pdbqt,SUCCESS,
GEN_71A3DA6E,O=[N+]([O-])c1cc(-c2ccc(N3CCOCC3)[nH]2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.474,data/docking_outputs/GEN_71A3DA6E_docked.pdbqt,SUCCESS,
GEN_FDBFC889,O=[N+]([O-])c1cc(-c2ccc(F)c(Cl)c2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.699,data/docking_outputs/GEN_FDBFC889_docked.pdbqt,SUCCESS,
GEN_2FDF7C32,CCN(C)c1ccc(-c2ccc(O)c([N+](=O)[O-])c2)[nH]1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-6.879,data/docking_outputs/GEN_2FDF7C32_docked.pdbqt,SUCCESS,
GEN_A52E1BC0,O=[N+]([O-])c1cc(-c2cc(O)ccc2[N+](=O)[O-])ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-8.231,data/docking_outputs/GEN_A52E1BC0_docked.pdbqt,SUCCESS,
GEN_2BBE51E3,O=[N+]([O-])c1cc(-c2ccc(O)c([N+](=O)[O-])c2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.743,data/docking_outputs/GEN_2BBE51E3_docked.pdbqt,SUCCESS,
GEN_2FFDA9BF,O=[N+]([O-])c1cc(-c2cccc(Cl)c2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.539,data/docking_outputs/GEN_2FFDA9BF_docked.pdbqt,SUCCESS,
GEN_39DF2B03,Cc1cccc(-c2ccc(O)c([N+](=O)[O-])c2)c1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.597,data/docking_outputs/GEN_39DF2B03_docked.pdbqt,SUCCESS,
GEN_1FB1AFCF,O=[N+]([O-])c1cc(-c2ccccc2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.263,data/docking_outputs/GEN_1FB1AFCF_docked.pdbqt,SUCCESS,
GEN_EBCC2714,O=[N+]([O-])c1cc(-c2ccccn2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-6.911,data/docking_outputs/GEN_EBCC2714_docked.pdbqt,SUCCESS,
GEN_B112B89D,Cc1cc(C)c(-c2ccc(O)c([N+](=O)[O-])c2)[nH]1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.258,data/docking_outputs/GEN_B112B89D_docked.pdbqt,SUCCESS,
GEN_66FBD551,O=[N+]([O-])c1cc(-c2ccc(O)cc2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.42,data/docking_outputs/GEN_66FBD551_docked.pdbqt,SUCCESS,
GEN_67AA3F26,O=[N+]([O-])c1cc(N2CCOCC2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-6.276,data/docking_outputs/GEN_67AA3F26_docked.pdbqt,SUCCESS,
GEN_4BE72015,O=[N+]([O-])c1cc(-c2ccc(-c3ccccn3)[nH]2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-8.013,data/docking_outputs/GEN_4BE72015_docked.pdbqt,SUCCESS,
GEN_77890B6E,CN(c1ccccn1)c1ccc(-c2ccc(O)c([N+](=O)[O-])c2)[nH]1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-7.913,data/docking_outputs/GEN_77890B6E_docked.pdbqt,SUCCESS,
GEN_D3F97A6A,O=[N+]([O-])c1cc(-c2ccc(-c3ccccc3)[nH]2)ccc1O,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-8.383,data/docking_outputs/GEN_D3F97A6A_docked.pdbqt,SUCCESS,
GEN_F38C85C6,CN(c1ccccc1)c1ccc(-c2ccc(O)c([N+](=O)[O-])c2)[nH]1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-8.128,data/docking_outputs/GEN_F38C85C6_docked.pdbqt,SUCCESS,
GEN_9B7BC87F,CN(C(=O)c1ccccn1)c1ccc(-c2ccc(O)c([N+](=O)[O-])c2)[nH]1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-8.05,data/docking_outputs/GEN_9B7BC87F_docked.pdbqt,SUCCESS,
GEN_421407F2,CN(C(=O)c1ccccc1)c1ccc(-c2ccc(O)c([N+](=O)[O-])c2)[nH]1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-8.332,data/docking_outputs/GEN_421407F2_docked.pdbqt,SUCCESS,
GEN_6E4A1C6D,Cc1cccc(-c2ccc(-c3ccc(O)c([N+](=O)[O-])c3)[nH]2)c1,data/processed/receptor.pdbqt,"Center: [22.013689655172417, 0.2528275862068965, 52.79403448275863], Size: [20, 20, 20]",-8.629,data/docking_outputs/GEN_6E4A1C6D_docked.pdbqt,SUCCESS,
