candidate_id,smiles,source_fragments,source_ligand_ids,generation_method,validity_status,property_status,docking_status,classical_rank,quantum_selected
GEN_1333609B,C[N+](C)(C)CC(O)COC(F)(F)F,[3*]OC(F)(F)F;[4*]CC(O)C[4*];[5*][N+](C)(C)C,CHEMBL1744086;CHEMBL1788321;CHEMBL299893;CHEMBL304271;CHEMBL335648;CHEMBL421047;CHEMBL56266,BRICS,True,pending,pending,,False
GEN_1E27B256,COCC(O)C[N+](C)(C)C,[3*]OC;[4*]CC(O)C[4*];[5*][N+](C)(C)C,CHEMBL100714;CHEMBL101581;CHEMBL104153;CHEMBL111038;CHEMBL111197;CHEMBL111365;CHEMBL113023;CHEMBL113185;CHEMBL113901;CHEMBL113985;CHEMBL113996;CHEMBL114073;CHEMBL114490;CHEMBL114593;CHEMBL115440;CHEMBL115519;CHEMBL115895;CHEMBL1161234;CHEMBL1161236;CHEMBL116525;CHEMBL116595;CHEMBL116853;CHEMBL116857;CHEMBL118109;CHEMBL118205;CHEMBL118321;CHEMBL119156;CHEMBL119987;CHEMBL1202473;CHEMBL1202477;CHEMBL1202478;CHEMBL120564;CHEMBL121709;CHEMBL122522;CHEMBL126101;CHEMBL128001;CHEMBL129930;CHEMBL129946;CHEMBL130049;CHEMBL130163;CHEMBL130208;CHEMBL131020;CHEMBL131193;CHEMBL131426;CHEMBL131590;CHEMBL131653;CHEMBL131715;CHEMBL132169;CHEMBL132348;CHEMBL132907;CHEMBL133283;CHEMBL135853;CHEMBL135902;CHEMBL136674;CHEMBL141175;CHEMBL143212;CHEMBL145266;CHEMBL146694;CHEMBL14699;CHEMBL147112;CHEMBL148514;CHEMBL148984;CHEMBL15202;CHEMBL153206;CHEMBL153518;CHEMBL154080;CHEMBL154822;CHEMBL157128;CHEMBL168382;CHEMBL168550;CHEMBL168555;CHEMBL168656;CHEMBL168661;CHEMBL169064;CHEMBL169065;CHEMBL169200;CHEMBL169467;CHEMBL169519;CHEMBL170724;CHEMBL171256;CHEMBL172514;CHEMBL1744086;CHEMBL1744347;CHEMBL1744349;CHEMBL1788321;CHEMBL1907763;CHEMBL1907764;CHEMBL1907944;CHEMBL24026;CHEMBL24137;CHEMBL2448064;CHEMBL2448065;CHEMBL2448066;CHEMBL2448067;CHEMBL24828;CHEMBL24979;CHEMBL25425;CHEMBL25450;CHEMBL25579;CHEMBL25610;CHEMBL262276;CHEMBL263788;CHEMBL26641;CHEMBL274732;CHEMBL279459;CHEMBL281872;CHEMBL281990;CHEMBL283088;CHEMBL286160;CHEMBL291514;CHEMBL29197;CHEMBL292323;CHEMBL293064;CHEMBL293090;CHEMBL294034;CHEMBL294395;CHEMBL299672;CHEMBL299893;CHEMBL300791;CHEMBL301018;CHEMBL304271;CHEMBL312001;CHEMBL320705;CHEMBL322066;CHEMBL322395;CHEMBL324030;CHEMBL324718;CHEMBL324926;CHEMBL325156;CHEMBL326100;CHEMBL326280;CHEMBL326318;CHEMBL331026;CHEMBL332173;CHEMBL332497;CHEMBL333454;CHEMBL334032;CHEMBL334173;CHEMBL334334;CHEMBL335012;CHEMBL335648;CHEMBL335718;CHEMBL335931;CHEMBL335932;CHEMBL336192;CHEMBL337026;CHEMBL337027;CHEMBL337035;CHEMBL337297;CHEMBL338049;CHEMBL338155;CHEMBL338448;CHEMBL338449;CHEMBL338935;CHEMBL338944;CHEMBL340611;CHEMBL342792;CHEMBL346846;CHEMBL352801;CHEMBL354310;CHEMBL355019;CHEMBL355191;CHEMBL355269;CHEMBL355322;CHEMBL355891;CHEMBL357400;CHEMBL358728;CHEMBL388978;CHEMBL39715;CHEMBL414013;CHEMBL416191;CHEMBL422758;CHEMBL423159;CHEMBL424252;CHEMBL428534;CHEMBL432941;CHEMBL435809;CHEMBL440453;CHEMBL444337;CHEMBL450622;CHEMBL50519;CHEMBL51854;CHEMBL52197;CHEMBL533849;CHEMBL538757;CHEMBL540068;CHEMBL541586;CHEMBL542484;CHEMBL542729;CHEMBL542733;CHEMBL542755;CHEMBL543661;CHEMBL543669;CHEMBL543904;CHEMBL544833;CHEMBL544865;CHEMBL545541;CHEMBL553;CHEMBL55425;CHEMBL555201;CHEMBL555797;CHEMBL555921;CHEMBL55794;CHEMBL56027;CHEMBL56142;CHEMBL56266;CHEMBL56502;CHEMBL56505;CHEMBL56802;CHEMBL56912;CHEMBL56936;CHEMBL57251;CHEMBL57758;CHEMBL57759;CHEMBL57892;CHEMBL57990;CHEMBL60472;CHEMBL60826;CHEMBL66101;CHEMBL67027;CHEMBL7339;CHEMBL7810;CHEMBL7819;CHEMBL7866;CHEMBL7917;CHEMBL79621;CHEMBL79808;CHEMBL80155;CHEMBL80745;CHEMBL8095;CHEMBL83837;CHEMBL83838;CHEMBL939;CHEMBL95320;CHEMBL97162;CHEMBL98137;CHEMBL98248;CHEMBL98798;CHEMBL99024,BRICS,True,pending,pending,,False
GEN_9D3F93AF,CN(C)CC(O)C[N+](C)(C)C,[4*]CC(O)C[4*];[5*]N(C)C;[5*][N+](C)(C)C,CHEMBL113901;CHEMBL114490;CHEMBL114728;CHEMBL116853;CHEMBL116857;CHEMBL117326;CHEMBL123523;CHEMBL125331;CHEMBL126137;CHEMBL126893;CHEMBL128432;CHEMBL129824;CHEMBL129825;CHEMBL136102;CHEMBL137534;CHEMBL138691;CHEMBL140561;CHEMBL153739;CHEMBL169920;CHEMBL1744086;CHEMBL1788321;CHEMBL263788;CHEMBL287007;CHEMBL287289;CHEMBL287832;CHEMBL299893;CHEMBL304271;CHEMBL30432;CHEMBL30973;CHEMBL310580;CHEMBL31276;CHEMBL323630;CHEMBL333045;CHEMBL334801;CHEMBL335648;CHEMBL338215;CHEMBL341053;CHEMBL345109;CHEMBL355269;CHEMBL37373;CHEMBL39811;CHEMBL421047;CHEMBL422531;CHEMBL441518;CHEMBL468975;CHEMBL52015;CHEMBL52829;CHEMBL53428;CHEMBL53711;CHEMBL53777;CHEMBL53796;CHEMBL538507;CHEMBL538757;CHEMBL540292;CHEMBL54067;CHEMBL541307;CHEMBL542887;CHEMBL543361;CHEMBL543600;CHEMBL544770;CHEMBL552634;CHEMBL552859;CHEMBL552860;CHEMBL56266;CHEMBL56936;CHEMBL57759;CHEMBL57990;CHEMBL607707;CHEMBL80030;CHEMBL94061,BRICS,True,pending,pending,,False
GEN_A1B71D54,C[N+](C)(C)CC(O)CN1CCCCC1,[4*]CC(O)C[4*];[5*]N1CCCCC1;[5*][N+](C)(C)C,CHEMBL1744086;CHEMBL1788321;CHEMBL291514;CHEMBL299893;CHEMBL304271;CHEMBL335648;CHEMBL544074;CHEMBL545006;CHEMBL56142;CHEMBL56266,BRICS,True,pending,pending,,False
GEN_9EA300B5,C[N+](C)(C)CC(O)CN1CCSCC1,[4*]CC(O)C[4*];[5*]N1CCSCC1;[5*][N+](C)(C)C,CHEMBL1744086;CHEMBL1788321;CHEMBL299893;CHEMBL304271;CHEMBL327023;CHEMBL335648;CHEMBL56266,BRICS,True,pending,pending,,False
GEN_EA89120F,C[N+](C)(C)CC(O)CN1CCNCC1,[4*]CC(O)C[4*];[5*]N1CCNCC1;[5*][N+](C)(C)C,CHEMBL1744086;CHEMBL1788321;CHEMBL299893;CHEMBL304271;CHEMBL322066;CHEMBL335648;CHEMBL544538;CHEMBL56266;CHEMBL79060;CHEMBL80540,BRICS,True,pending,pending,,False
GEN_0A5C8A9F,CC1CN(CC(O)C[N+](C)(C)C)CC(C)N1,[4*]CC(O)C[4*];[5*]N1CC(C)NC(C)C1;[5*][N+](C)(C)C,CHEMBL1744086;CHEMBL1788321;CHEMBL299893;CHEMBL304271;CHEMBL335648;CHEMBL56266;CHEMBL69071,BRICS,True,pending,pending,,False
GEN_289486F6,CNCC(O)C[N+](C)(C)C,[4*]CC(O)C[4*];[5*]NC;[5*][N+](C)(C)C,CHEMBL107472;CHEMBL127082;CHEMBL135861;CHEMBL137422;CHEMBL1744086;CHEMBL1788321;CHEMBL293090;CHEMBL299622;CHEMBL299893;CHEMBL304271;CHEMBL334439;CHEMBL335648;CHEMBL337026;CHEMBL338049;CHEMBL338155;CHEMBL342929;CHEMBL345203;CHEMBL358934;CHEMBL388978;CHEMBL50344;CHEMBL52591;CHEMBL53156;CHEMBL53310;CHEMBL53753;CHEMBL54400;CHEMBL56266;CHEMBL92812,BRICS,True,pending,pending,,False
GEN_38767783,CNC(=S)N(C)CC(O)C[N+](C)(C)C,[4*]CC(O)C[4*];[5*]N(C)C(=S)NC;[5*][N+](C)(C)C,CHEMBL1744086;CHEMBL1788321;CHEMBL299893;CHEMBL304271;CHEMBL335648;CHEMBL337035;CHEMBL56266,BRICS,True,pending,pending,,False
GEN_3CEFA55D,C[N+](C)(C)CC(O)CN1CCOCC1,[4*]CC(O)C[4*];[5*]N1CCOCC1;[5*][N+](C)(C)C,CHEMBL113985;CHEMBL113996;CHEMBL114073;CHEMBL114392;CHEMBL116012;CHEMBL118000;CHEMBL126384;CHEMBL126623;CHEMBL128987;CHEMBL129509;CHEMBL136058;CHEMBL137082;CHEMBL137364;CHEMBL138940;CHEMBL139307;CHEMBL14699;CHEMBL1744086;CHEMBL1788321;CHEMBL24137;CHEMBL25610;CHEMBL264382;CHEMBL294475;CHEMBL299881;CHEMBL299893;CHEMBL302552;CHEMBL304271;CHEMBL311111;CHEMBL312482;CHEMBL31965;CHEMBL322395;CHEMBL332497;CHEMBL335648;CHEMBL36967;CHEMBL38199;CHEMBL39355;CHEMBL40130;CHEMBL417420;CHEMBL443268;CHEMBL542893;CHEMBL544067;CHEMBL545315;CHEMBL56266;CHEMBL65848;CHEMBL67003;CHEMBL67057;CHEMBL69629;CHEMBL69960;CHEMBL69966;CHEMBL939;CHEMBL95774;CHEMBL99024,BRICS,True,pending,pending,,False
