candidate_id,smiles_x,parent_ids,generation_method,validity_status,qed,esol,pains_alert_count,pains_flag,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds,smiles_y,method,score,score_direction,reference,status,limitations,error_message,docking_output_path,norm_qed,norm_esol,norm_binding,final_classical_score,ranking
GEN_9BF883B3,Oc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccccn2)cc1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271;CHEMBL76589,BRICS,VALID,0.184,-7.164,1,True,495.97,6.668,2,7,8,Oc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccccn2)cc1,vina,-9.66,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_9BF883B3_docked.pdbqt,0.0,0.09495431068732615,1.0,-9.415006527044667,1
GEN_4E89AE4A,Clc1cccc(-c2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL443268;CHEMBL69960,BRICS,VALID,0.502,-4.886,1,True,396.88,4.062,1,6,6,Clc1cccc(-c2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,vina,-7.895,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_4E89AE4A_docked.pdbqt,1.0,1.0,0.23559982676483307,-9.436800098991524,2
GEN_081366E4,CCN(C)CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL304271;CHEMBL344652,BRICS,VALID,0.485,-5.069,1,True,368.87,4.681,1,5,7,CCN(C)CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1,vina,-7.96,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_081366E4_docked.pdbqt,0.9465408805031446,0.9272943980929679,0.263750541359896,-9.44637452506588,3
GEN_A33462F6,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cc(O)ccc1[N+](=O)[O-],CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652;CHEMBL77085,BRICS,VALID,0.195,-6.206,1,True,477.91,5.48,2,8,8,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cc(O)ccc1[N+](=O)[O-],vina,-9.165,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_A33462F6_docked.pdbqt,0.034591194968553486,0.47556615017878406,0.7856214811606752,-9.473252219320202,4
GEN_6089E2AA,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cccc(Cl)c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652,BRICS,VALID,0.257,-6.809,1,True,451.36,6.519,1,5,7,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cccc(Cl)c1,vina,-8.881,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_6089E2AA_docked.pdbqt,0.229559748427673,0.2359952324195469,0.6626245127760936,-9.522055317088675,5
GEN_BE3DE4B5,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccccn1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL344652,BRICS,VALID,0.327,-5.826,1,True,417.9,5.261,1,6,7,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccccn1,vina,-8.388,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_BE3DE4B5_docked.pdbqt,0.44968553459119504,0.6265395311879223,0.44911216977046337,-9.525377245792548,6
GEN_32B6EEA4,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)cc1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652;CHEMBL76589,BRICS,VALID,0.294,-6.097,1,True,432.92,5.571,2,6,7,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)cc1,vina,-8.426,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_32B6EEA4_docked.pdbqt,0.34591194968553457,0.518871672626142,0.465569510610654,-9.561003769365739,7
GEN_0E07CBD5,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)c([N+](=O)[O-])c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL309625;CHEMBL344652,BRICS,VALID,0.195,-6.206,1,True,477.91,5.48,2,8,8,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)c([N+](=O)[O-])c1,vina,-8.71,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_0E07CBD5_docked.pdbqt,0.034591194968553486,0.47556615017878406,0.5885664789952364,-9.585855077700453,8
GEN_3E2FDBAE,Cc1cc(C)c(N(C)CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)[nH]1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652;CHEMBL68920,BRICS,VALID,0.284,-6.23,1,True,433.95,5.811,2,5,7,Cc1cc(C)c(N(C)CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)[nH]1,vina,-8.364,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_3E2FDBAE_docked.pdbqt,0.3144654088050314,0.46603098927294373,0.4387180597661328,-9.592880850578924,9
GEN_362C4B04,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(N2CCOCC2)[nH]1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL302552;CHEMBL344652;CHEMBL443268;CHEMBL69960,BRICS,VALID,0.266,-5.969,1,True,491.0,5.03,2,7,8,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(N2CCOCC2)[nH]1,vina,-8.336,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_362C4B04_docked.pdbqt,0.25786163522012584,0.5697258641239569,0.42659159809441327,-9.601169210436877,10
GEN_A0C80EC7,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccccn1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271,BRICS,VALID,0.288,-6.075,1,True,431.93,5.651,1,6,8,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccccn1,vina,-8.273,negative_is_better,data/processed/receptor.pdbqt,SUCCESS_VINA,AutoDock Vina score; empirical scoring function; relies on static receptor conformation.,,data/docking_outputs/GEN_A0C80EC7_docked.pdbqt,0.32704402515723263,0.527612236789829,0.39930705933304445,-9.603010210794789,11
