candidate_id,smiles,parent_ids,generation_method,validity_status,qed,esol,pains_alert_count,pains_flag,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds
GEN_4E89AE4A,Clc1cccc(-c2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL443268;CHEMBL69960,BRICS,VALID,0.502,-4.886,1,True,396.88,4.062,1,6,6
GEN_7DFC2C4E,Oc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cccc(Br)c2)cc1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271;CHEMBL76589,BRICS,VALID,0.145,-8.493,1,True,573.88,8.036,2,6,8
GEN_5FBA6273,O=[N+]([O-])c1cc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cccc(Br)c2)ccc1O,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271;CHEMBL309625,BRICS,VALID,0.097,-8.606,1,True,618.88,7.944,2,8,9
GEN_6F0932BC,Fc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cccc(Br)c2)cc1Cl,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL302552;CHEMBL304271;CHEMBL443268;CHEMBL68920;CHEMBL69960,BRICS,VALID,0.141,-9.388,1,True,610.32,9.123,1,5,8
GEN_AD7507D4,O=[N+]([O-])c1ccc(O)cc1N(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cccc(Br)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271;CHEMBL77085,BRICS,VALID,0.097,-8.606,1,True,618.88,7.944,2,8,9
GEN_DEAD80AD,Cc1cccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cccc(Br)c2)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271;CHEMBL336113,BRICS,VALID,0.149,-8.86,1,True,571.91,8.639,1,5,8
GEN_3E5E2910,CN(C)/N=N/c1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3cccc(Br)c3)c2c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271;CHEMBL344652,BRICS,VALID,0.113,-9.494,1,True,681.0,8.834,1,9,10
GEN_8872F8D3,Cc1cc(C)c(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cccc(Br)c2)[nH]1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271;CHEMBL68920,BRICS,VALID,0.144,-8.63,1,True,574.91,8.275,2,5,8
GEN_B74C7BB4,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3cccc(Br)c3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271,BRICS,VALID,0.111,-9.323,1,True,666.98,8.682,2,9,10
GEN_94D0C521,Clc1cccc(-c2ncnc3ccc(N/N=N/CCN(c4cccc(Br)c4)c4ccccn4)cc23)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271,BRICS,VALID,0.156,-8.219,1,True,558.87,7.725,1,6,8
GEN_6A65C724,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cccc(Br)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL304271,BRICS,VALID,0.205,-7.403,1,True,509.84,7.018,1,5,8
